accession,protein_accession,collection_date,sgene_begin,sgene_end,location,region
MT757078.1,QLH58492.1,2020-04-23,21563,25384,USA: FL,North America
MT757077.1,QLH58480.1,2020-04-23,21563,25384,USA: FL,North America
MT757076.1,QLH58468.1,2020-04-22,21563,25384,USA: FL,North America
MT757075.1,QLH58456.1,2020-04-23,21524,25345,USA: FL,North America
MT757074.1,QLH58444.1,2020-04-23,21525,25346,USA: FL,North America
MT757073.1,QLH58432.1,2020-04-23,21559,25380,USA: FL,North America
MT757072.1,QLH58420.1,2020-04-23,21563,25384,USA: FL,North America
MT757071.1,QLH58408.1,2020-04-23,21562,25383,USA: FL,North America
MT757070.1,QLH58396.1,2020-04-21,21562,25383,USA: FL,North America
MT757068.1,QLH58372.1,2020-04-21,21563,25384,USA: FL,North America
MT757067.1,QLH58360.1,2020-04-21,21530,25351,USA: FL,North America
MT757066.1,QLH58348.1,2020-04-22,21546,25367,USA: FL,North America
MT757064.1,QLH58324.1,2020-04-21,21553,25374,USA: FL,North America
MT757063.1,QLH58312.1,2020-04-21,21562,25383,USA: FL,North America
MT757058.1,QLH58252.1,2020-04-19,21561,25382,USA: FL,North America
MT757056.1,QLH58228.1,2020-04-19,21561,25382,USA: FL,North America
MT757054.1,QLH58204.1,2020-04-19,21561,25382,USA: FL,North America
MT757051.1,QLH58168.1,2020-04-15,21561,25382,USA: FL,North America
MT757049.1,QLH58144.1,2020-04-13,21560,25381,USA: FL,North America
MT757047.1,QLH58120.1,2020-04-13,21559,25380,USA: FL,North America
MT757044.1,QLH58084.1,2020-04-13,21559,25380,USA: FL,North America
MT757043.1,QLH58072.1,2020-04-10,21562,25383,USA: FL,North America
MT757041.1,QLH58048.1,2020-04-12,21556,25377,USA: FL,North America
MT757040.1,QLH58036.1,2020-04-13,21540,25361,USA: FL,North America
MT757039.1,QLH58024.1,2020-04-13,21560,25381,USA: FL,North America
MT757038.1,QLH58012.1,2020-04-13,21561,25382,USA: FL,North America
MT757037.1,QLH58000.1,2020-04-13,21559,25380,USA: FL,North America
MT757033.1,QLH57953.1,2020-04-13,21559,25380,USA: FL,North America
MT757032.1,QLH57941.1,2020-04-13,21562,25383,USA: FL,North America
MT757030.1,QLH57917.1,2020-04-13,21555,25376,USA: FL,North America
MT757029.1,QLH57905.1,2020-04-13,21559,25380,USA: FL,North America
MT757027.1,QLH57881.1,2020-04-13,21561,25382,USA: FL,North America
MT757025.1,QLH57857.1,2020-04-13,21562,25383,USA: FL,North America
MT757024.1,QLH57845.1,2020-04-12,21561,25382,USA: FL,North America
MT757022.1,QLH57821.1,2020-04-13,21562,25383,USA: FL,North America
MT757021.1,QLH57809.1,2020-04-13,21562,25383,USA: FL,North America
MT757020.1,QLH57797.1,2020-04-13,21560,25381,USA: FL,North America
MT757019.1,QLH57785.1,2020-04-13,21560,25381,USA: FL,North America
MT757018.1,QLH57773.1,2020-04-13,21561,25382,USA: FL,North America
MT757016.1,QLH57750.1,2020-04-13,21554,25375,USA: FL,North America
MT757013.1,QLH57714.1,2020-04-11,21560,25381,USA: FL,North America
MT757012.1,QLH57702.1,2020-04-11,21551,25372,USA: FL,North America
MT757006.1,QLH57630.1,2020-03-15,21528,25349,USA: FL,North America
MT755973.1,QLH56706.1,2020-07-06,21563,25384,Bangladesh,Asia
MT755956.1,QLH56685.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755955.1,QLH56673.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755917.1,QLH56626.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755916.1,QLH56614.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755901.1,QLH56278.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755900.1,QLH56266.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755899.1,QLH56254.1,2020-03-01,21563,25384,Saudi Arabia,Asia
MT755898.1,QLH56242.1,2020-02-27,21563,25384,Saudi Arabia,Asia
MT755897.1,QLH56230.1,2020-02-26,21563,25384,Saudi Arabia,Asia
MT755896.1,QLH56218.1,2020-02-24,21563,25384,Saudi Arabia,Asia
MT755895.1,QLH56206.1,2020-02-23,21563,25384,Saudi Arabia,Asia
MT755894.1,QLH56194.1,2020-02-20,21563,25384,Saudi Arabia,Asia
MT755893.1,QLH56182.1,2020-02-18,21563,25384,Saudi Arabia,Asia
MT755892.1,QLH56170.1,2020-02-18,21563,25384,Saudi Arabia,Asia
MT755891.1,QLH56158.1,2020-02-17,21563,25384,Saudi Arabia,Asia
MT755890.1,QLH56146.1,2020-02-16,21563,25384,Saudi Arabia,Asia
MT755889.1,QLH56134.1,2020-02-13,21563,25384,Saudi Arabia,Asia
MT755888.1,QLH56122.1,2020-02-13,21563,25384,Saudi Arabia,Asia
MT755887.1,QLH56110.1,2020-02-10,21563,25384,Saudi Arabia,Asia
MT755886.1,QLH56098.1,2020-02-10,21563,25384,Saudi Arabia,Asia
MT755885.1,QLH56086.1,2020-02-09,21563,25384,Saudi Arabia,Asia
MT755884.1,QLH56074.1,2020-02-04,21563,25384,Saudi Arabia,Asia
MT755883.1,QLH56062.1,2020-02-03,21563,25384,Saudi Arabia,Asia
MT755858.1,QLH55839.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755857.1,QLH55827.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755838.1,QLH55815.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755837.1,QLH55803.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755836.1,QLH55791.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755835.1,QLH55779.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755834.1,QLH55767.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755833.1,QLH55755.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755832.1,QLH55743.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755831.1,QLH55731.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755830.1,QLH55719.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755829.1,QLH55707.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755828.1,QLH55695.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755827.1,QLH55683.1,2020-07-06,21563,25384,Bangladesh: Barishal,Asia
MT755602.1,QLH27906.1,2020-04-24,21563,25384,USA,North America
MT755600.1,QLH27882.1,2020-04-24,21563,25384,USA,North America
MT755599.1,QLH27870.1,2020-04-24,21563,25384,USA,North America
MT755594.1,QLH27810.1,2020-04-24,21559,25380,USA,North America
MT755593.1,QLH27798.1,2020-04-24,21563,25384,USA,North America
MT755587.1,QLH27726.1,2020-04-23,21529,25350,USA,North America
MT755585.1,QLH27702.1,2020-05-12,21553,25374,USA,North America
MT755582.1,QLH27666.1,2020-05-11,21559,25380,USA,North America
MT764181.1,QLI33624.1,2020-04-17,21563,25384,"USA: South Carolina, Richland",North America
MT764180.1,QLI33612.1,2020-04-17,21525,25346,"USA: South Carolina, Richland",North America
MT764179.1,QLI33600.1,2020-03-27,21525,25346,"USA: South Carolina, Berkeley",North America
MT764178.1,QLI33588.1,2020-03-26,21525,25346,"USA: South Carolina, Berkeley",North America
MT764177.1,QLI33576.1,2020-03-25,21493,25314,"USA: South Carolina, Berkeley",North America
MT764174.1,QLI33540.1,2020-03-10,21525,25346,"USA: South Carolina, Berkeley",North America
MT764172.1,QLI33516.1,2020-03-06,21553,25374,"USA: South Carolina, Berkeley",North America
MT764170.1,QLI33492.1,2020-05-13,21563,25384,USA,North America
MT764166.1,QLI33444.1,2020-05-12,21562,25383,USA,North America
MT762944.1,QLH93654.1,2020-07-07,21563,25384,Bangladesh: Khulna,Asia
MT762943.1,QLH93642.1,2020-07-07,21563,25384,Bangladesh: Khulna,Asia
MT762942.1,QLH93630.1,2020-07-07,21563,25384,Bangladesh: Khulna,Asia
MT762398.1,QLH93452.1,2020-07-07,21563,25384,Bangladesh: Jashore,Asia
MT762397.1,QLH93440.1,2020-07-07,21563,25384,Bangladesh: Jashore,Asia
MT762396.1,QLH93428.1,2020-07-07,21563,25384,Bangladesh: Jashore,Asia
MT760790.1,QLH93285.1,2020-06-13,21521,25342,India: Surat,Asia
MT759844.1,QLH93214.1,2020-06-13,21521,25342,India: Surat,Asia
MT759820.1,QLH93201.1,2020-06-13,21521,25342,India: Surat,Asia
MT759742.1,QLH93187.1,2020-06-13,21521,25342,India: Surat,Asia
MT759714.1,QLH93131.1,2020-06-13,21521,25342,India: Surat,Asia
MT759588.1,QLH93119.1,2020-06-13,21521,25342,India: Surat,Asia
MT759582.1,QLH90103.1,2020-06-13,21521,25342,India: Surat,Asia
MT758701.1,QLH90090.1,2020-06-13,21521,25342,India: Choryasi,Asia
MT758683.1,QLH90078.1,2020-06-12,21521,25342,India: Surat,Asia
MT758471.1,QLH90042.1,2020-06-12,21521,25342,India: Surat,Asia
MT758439.1,QLH64941.1,2020-06-11,21521,25342,India: Surat,Asia
MT758436.1,QLH64929.1,2020-06-11,21521,25342,India: Surat,Asia
MT758421.1,QLH64917.1,2020-06-11,21521,25342,India: Surat,Asia
MT758402.1,QLH64901.1,2020-06-11,21521,25342,India: Surat,Asia
MT758375.1,QLH64889.1,2020-06-12,21521,25342,India: Rajkot,Asia
MT758346.1,QLH64877.1,2020-06-12,21521,25342,India: Rajkot,Asia
MT758314.1,QLH64863.1,2020-06-12,21521,25342,India: Jetpur,Asia
MT758240.1,QLH64851.1,2020-06-12,21521,25342,India: Jetpur,Asia
MT758215.1,QLH64839.1,2020-06-12,21521,25342,India: Rajkot,Asia
MT758213.1,QLH64827.1,2020-06-12,21521,25342,India: Rajkot,Asia
MT758203.1,QLH64815.1,2020-06-14,21521,25342,India: Modasa,Asia
MT758202.1,QLH64803.1,2020-06-12,21521,25342,India: Rajkot,Asia
MT758197.1,QLH64791.1,2020-06-12,21521,25342,India: Rajkot,Asia
MT758193.1,QLH64779.1,2020-06-05,21521,25342,India: Vadodara,Asia
MT772091.1,QLI49661.1,2020-03-21,21539,25360,"USA: Wisconsin, Dane county",North America
MT772090.1,QLI49649.1,2020-03-21,21538,25359,"USA: Wisconsin, Dane county",North America
MT772089.1,QLI49637.1,2020-03-21,21559,25380,"USA: Wisconsin, Dane county",North America
MT772088.1,QLI49625.1,2020-03-21,21538,25359,"USA: Wisconsin, Dane county",North America
MT772087.1,QLI49613.1,2020-03-15,21543,25364,"USA: Wisconsin, Dane county",North America
MT772086.1,QLI49601.1,2020-03-14,21562,25383,"USA: Wisconsin, Dane county",North America
MT772085.1,QLI49589.1,2020-03-15,21509,25330,"USA: Wisconsin, Dane county",North America
MT766908.1,QLI46301.1,2020-04-01,21509,25330,"USA: Arkansas, Little Rock",North America
MT766907.1,QLI46289.1,2020-04-01,21509,25330,"USA: Arkansas, Little Rock",North America
MT773134.1,QLI52069.1,2020-06-13,21521,25342,India: Surat,Asia
MT773133.1,QLI52057.1,2020-06-13,21521,25342,India: Surat,Asia
MT772580.1,QLI52045.1,2020-05-01,21509,25330,"USA: Wisconsin, Waukesha county",North America
MT772579.1,QLI52033.1,2020-05-01,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772578.1,QLI52021.1,2020-05-01,21509,25330,"USA: Wisconsin, Waukesha county",North America
MT772577.1,QLI52009.1,2020-05-01,21509,25330,"USA: Wisconsin, Washington county",North America
MT772575.1,QLI51985.1,2020-04-27,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772574.1,QLI51973.1,2020-04-27,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772573.1,QLI51961.1,2020-04-27,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772571.1,QLI51937.1,2020-04-27,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772570.1,QLI51925.1,2020-04-26,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772569.1,QLI51913.1,2020-04-21,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772568.1,QLI51901.1,2020-04-15,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772567.1,QLI51889.1,2020-04-13,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772566.1,QLI51877.1,2020-04-13,21509,25330,"USA: Wisconsin, Waukesha county",North America
MT772565.1,QLI51865.1,2020-04-09,21509,25330,"USA: Wisconsin, Washington county",North America
MT772564.1,QLI51853.1,2020-04-08,21509,25330,"USA: Wisconsin, Washington county",North America
MT772563.1,QLI51841.1,2020-04-06,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772562.1,QLI51829.1,2020-04-07,21509,25330,"USA: Wisconsin, Washington county",North America
MT772561.1,QLI51817.1,2020-04-04,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772559.1,QLI51793.1,2020-03-31,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772558.1,QLI51781.1,2020-03-31,21509,25330,"USA: Wisconsin, Fond du Lac county",North America
MT772557.1,QLI51769.1,2020-03-30,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772556.1,QLI51757.1,2020-03-23,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772555.1,QLI51745.1,2020-03-19,21509,25330,"USA: Wisconsin, Ozaukee county",North America
MT772554.1,QLI51733.1,2020-03-18,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772553.1,QLI51721.1,2020-03-19,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772552.1,QLI51709.1,2020-03-17,21509,25330,"USA: Wisconsin, Ozaukee county",North America
MT772551.1,QLI51697.1,2020-03-17,21509,25330,"USA: Wisconsin, Ozaukee county",North America
MT772550.1,QLI51685.1,2020-03-17,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772549.1,QLI51673.1,2020-03-16,21509,25330,"USA: Wisconsin, Ozaukee county",North America
MT772548.1,QLI51661.1,2020-03-16,21509,25330,"USA: Wisconsin, Ozaukee county",North America
MT772547.1,QLI51649.1,2020-03-15,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772546.1,QLI51637.1,2020-03-15,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772545.1,QLI51625.1,2020-03-14,21509,25330,"USA: Wisconsin, Milwaukee county",North America
MT772544.1,QLI51613.1,2020-05-09,21509,25330,"USA: Wisconsin, Dane county",North America
MT772543.1,QLI51601.1,2020-05-14,21509,25330,"USA: Wisconsin, Dane county",North America
MT772541.1,QLI51577.1,2020-05-20,21509,25330,"USA: Wisconsin, Green county",North America
MT772539.1,QLI51553.1,2020-05-21,21509,25330,"USA: Wisconsin, Dane county",North America
MT772538.1,QLI51541.1,2020-05-18,21509,25330,"USA: Wisconsin, Dane county",North America
MT772537.1,QLI51529.1,2020-05-21,21509,25330,"USA: Wisconsin, Dane county",North America
MT772536.1,QLI51517.1,2020-05-23,21509,25330,"USA: Illinois, Winnebago county",North America
MT772535.1,QLI51505.1,2020-05-22,21509,25330,"USA: Wisconsin, Dane county",North America
MT772534.1,QLI51493.1,2020-05-22,21509,25330,"USA: Illinois, Winnebago county",North America
MT772533.1,QLI51481.1,2020-05-22,21509,25330,"USA: Wisconsin, Dane county",North America
MT772532.1,QLI51469.1,2020-05-22,21509,25330,"USA: Wisconsin, Rock county",North America
MT772531.1,QLI51457.1,2020-05-21,21509,25330,"USA: Illinois, Winnebago county",North America
MT772529.1,QLI51433.1,2020-05-21,21509,25330,"USA: Wisconsin, Dane county",North America
MT772528.1,QLI51421.1,2020-05-21,21509,25330,"USA: Wisconsin, Dane county",North America
MT772527.1,QLI51409.1,2020-05-20,21509,25330,"USA: Illinois, Winnebago county",North America
MT772526.1,QLI51397.1,2020-05-20,21509,25330,"USA: Wisconsin, Jefferson county",North America
MT772525.1,QLI51385.1,2020-05-20,21509,25330,"USA: Wisconsin, Jefferson county",North America
MT772524.1,QLI51373.1,2020-05-20,21509,25330,"USA: Wisconsin, Columbia county",North America
MT772523.1,QLI51361.1,2020-05-20,21509,25330,"USA: Wisconsin, Lafayette county",North America
MT772522.1,QLI51349.1,2020-05-20,21509,25330,"USA: Wisconsin, Dane county",North America
MT772521.1,QLI51337.1,2020-05-20,21509,25330,"USA: Wisconsin, Dane county",North America
MT772520.1,QLI51325.1,2020-05-20,21509,25330,"USA: Wisconsin, Dane county",North America
MT772519.1,QLI51313.1,2020-06-30,21509,25330,"USA: Wisconsin, Dane county",North America
MT772518.1,QLI51301.1,2020-07-02,21509,25330,"USA: Wisconsin, Dane county",North America
MT772516.1,QLI51277.1,2020-07-01,21509,25330,"USA: Wisconsin, Dane county",North America
MT772515.1,QLI51265.1,2020-06-29,21509,25330,"USA: Wisconsin, Dane county",North America
MT772514.1,QLI51253.1,2020-06-30,21509,25330,"USA: Wisconsin, Dane county",North America
MT772512.1,QLI51229.1,2020-06-30,21509,25330,"USA: Florida, Palm Beach county",North America
MT772510.1,QLI51205.1,2020-06-29,21509,25330,"USA: Colorado, Denver county",North America
MT772509.1,QLI51193.1,2020-06-30,21492,25313,"USA: Wisconsin, Dane county",North America
MT772507.1,QLI51169.1,2020-07-02,21509,25330,"USA: Wisconsin, Dane county",North America
MT772506.1,QLI51157.1,2020-07-01,21509,25330,"USA: Wisconsin, Dane county",North America
MT772505.1,QLI51145.1,2020-07-01,21509,25330,"USA: Wisconsin, Dane county",North America
MT772504.1,QLI51133.1,2020-06-30,21509,25330,"USA: Wisconsin, Dane county",North America
MT772503.1,QLI51121.1,2020-07-02,21509,25330,"USA: Wisconsin, Dane county",North America
MT772502.1,QLI51109.1,2020-06-30,21509,25330,"USA: Wisconsin, Dane county",North America
MT772501.1,QLI51097.1,2020-07-02,21509,25330,"USA: Wisconsin, Dane county",North America
MT772500.1,QLI51085.1,2020-07-01,21509,25330,"USA: Wisconsin, Dane county",North America
MT772499.1,QLI51073.1,2020-06-30,21509,25330,"USA: Wisconsin, Dane county",North America
MT772498.1,QLI51061.1,2020-06-30,21509,25330,"USA: Wisconsin, Dane county",North America
MT772497.1,QLI51049.1,2020-07-02,21509,25330,"USA: Wisconsin, Dane county",North America
MT772496.1,QLI51037.1,2020-06-30,21509,25330,"USA: Wisconsin, Dane county",North America
MT772495.1,QLI51025.1,2020-06-29,21509,25330,"USA: Wisconsin, Dane county",North America
MT772494.1,QLI51013.1,2020-06-29,21509,25330,"USA: Wisconsin, Dane county",North America
MT772491.1,QLI50977.1,2020-06-29,21509,25330,"USA: Wisconsin, Dane county",North America
MT772490.1,QLI50965.1,2020-06-29,21509,25330,"USA: Wisconsin, Dane county",North America
MT772489.1,QLI50953.1,2020-06-29,21509,25330,"USA: Wisconsin, Dane county",North America
MT772488.1,QLI50941.1,2020-07-02,21509,25330,"USA: Wisconsin, Columbia county",North America
MT772487.1,QLI50929.1,2020-06-29,21509,25330,"USA: Wisconsin, Dane county",North America
MT772486.1,QLI50917.1,2020-06-30,21509,25330,"USA: California, San Diego county",North America
MT772485.1,QLI50905.1,2020-06-29,21509,25330,"USA: Wisconsin, Dane county",North America
MT772484.1,QLI50893.1,2020-07-02,21509,25330,"USA: Wisconsin, Dane county",North America
MT772483.1,QLI50881.1,2020-06-29,21509,25330,"USA: Illinois, Dupage county",North America
MT772482.1,QLI50869.1,2020-06-29,21509,25330,"USA: Wisconsin, Dane county",North America
MT772481.1,QLI50857.1,2020-06-30,21509,25330,"USA: Wisconsin, Dane county",North America
MT772480.1,QLI50845.1,2020-07-02,21509,25330,"USA: Wisconsin, Dane county",North America
MT772479.1,QLI50833.1,2020-06-30,21509,25330,"USA: Wisconsin, Outagamie county",North America
MT772477.1,QLI50809.1,2020-07-02,21509,25330,"USA: Wisconsin, Dane county",North America
MT772476.1,QLI50797.1,2020-07-02,21509,25330,"USA: Wisconsin, Dane county",North America
MT772475.1,QLI50785.1,2020-06-29,21509,25330,"USA: Wisconsin, Dane county",North America
MT772474.1,QLI50773.1,2020-06-29,21509,25330,"USA: Wisconsin, Dane county",North America
MT772473.1,QLI50761.1,2020-07-02,21509,25330,"USA: Wisconsin, Dane county",North America
MT772472.1,QLI50749.1,2020-07-01,21509,25330,"USA: Wisconsin, Dane county",North America
MT772471.1,QLI50737.1,2020-06-29,21509,25330,"USA: Wisconsin, Dane county",North America
MT772469.1,QLI50713.1,2020-06-27,21509,25330,"USA: Wisconsin, Dane county",North America
MT772467.1,QLI50689.1,2020-06-28,21509,25330,"USA: Illinois, Lake county",North America
MT772466.1,QLI50677.1,2020-06-28,21509,25330,"USA: Wisconsin, Dane county",North America
MT772465.1,QLI50665.1,2020-06-28,21509,25330,"USA: Wisconsin, Dane county",North America
MT772464.1,QLI50653.1,2020-06-27,21509,25330,"USA: Wisconsin, Dane county",North America
MT772463.1,QLI50641.1,2020-06-26,21509,25330,"USA: Illinois, Cook county",North America
MT772462.1,QLI50629.1,2020-06-25,21509,25330,"USA: Wisconsin, Dane county",North America
MT772461.1,QLI50617.1,2020-06-25,21509,25330,"USA: Wisconsin, Dane county",North America
MT772460.1,QLI50605.1,2020-06-26,21509,25330,"USA: Wisconsin, Sauk county",North America
MT772459.1,QLI50593.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772458.1,QLI50581.1,2020-06-28,21509,25330,"USA: Wisconsin, Dane county",North America
MT772457.1,QLI50569.1,2020-06-27,21509,25330,"USA: Wisconsin, Dane county",North America
MT772455.1,QLI50545.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772454.1,QLI50533.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772453.1,QLI50521.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772452.1,QLI50509.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772450.1,QLI50485.1,2020-06-26,21509,25330,"USA: Massachusetts, Norfolk county",North America
MT772449.1,QLI50473.1,2020-06-26,21509,25330,"USA: Minnesota, Stearns county",North America
MT772448.1,QLI50461.1,2020-06-28,21509,25330,"USA: Florida, Miami-dade county",North America
MT772447.1,QLI50449.1,2020-06-26,21509,25330,"USA: Illinois, Cook county",North America
MT772445.1,QLI50425.1,2020-06-26,21509,25330,"USA: Wisconsin, Waukesha county",North America
MT772444.1,QLI50413.1,2020-06-28,21509,25330,"USA: Wisconsin, Dane county",North America
MT772443.1,QLI50401.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772441.1,QLI50377.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772440.1,QLI50365.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772438.1,QLI50341.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772437.1,QLI50329.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772436.1,QLI50317.1,2020-06-28,21509,25330,"USA: Wisconsin, Dane county",North America
MT772435.1,QLI50305.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772434.1,QLI50293.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772433.1,QLI50281.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772432.1,QLI50269.1,2020-06-27,21509,25330,"USA: Arizona, Maricopa county",North America
MT772430.1,QLI50245.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772428.1,QLI50221.1,2020-06-26,21509,25330,"USA: New York, Rockland county",North America
MT772427.1,QLI50209.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772426.1,QLI50197.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772425.1,QLI50185.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772423.1,QLI50161.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772422.1,QLI50149.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772421.1,QLI50137.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772419.1,QLI50113.1,2020-06-27,21503,25324,"USA: Wisconsin, Dane county",North America
MT772418.1,QLI50101.1,2020-06-28,21509,25330,"USA: New York, Westchester county",North America
MT772417.1,QLI50089.1,2020-06-28,21509,25330,"USA: Wisconsin, Dane county",North America
MT772416.1,QLI50077.1,2020-06-28,21509,25330,"USA: Illinois, Cook county",North America
MT772412.1,QLI50029.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772411.1,QLI50017.1,2020-06-28,21509,25330,"USA: Wisconsin, Dane county",North America
MT772410.1,QLI50005.1,2020-06-27,21509,25330,"USA: Massachusetts, Norfolk county",North America
MT772409.1,QLI49993.1,2020-06-28,21509,25330,"USA: Wisconsin, Dane county",North America
MT772408.1,QLI49981.1,2020-06-28,21509,25330,"USA: Wisconsin, Dane county",North America
MT772407.1,QLI49969.1,2020-06-26,21509,25330,"USA: Wisconsin, Dane county",North America
MT772405.1,QLI49945.1,2020-06-28,21506,25327,"USA: Wisconsin, Dane county",North America
MT772404.1,QLI49933.1,2020-06-26,21509,25330,"USA: Illinois, Kane county",North America
MT772403.1,QLI49921.1,2020-06-25,21509,25330,"USA: Wisconsin, Dane county",North America
MT772297.1,QLI49817.1,2020-06-13,21521,25342,India: Surat,Asia
MT772294.1,QLI49805.1,2020-06-13,21521,25342,India: Surat,Asia
MT772293.1,QLI49793.1,2020-06-13,21521,25342,India: Choryasi,Asia
MT772271.1,QLI49781.1,2020-06-13,21521,25342,India: Choryasi,Asia
MT772256.1,QLI49769.1,2020-06-13,21521,25342,India: Surat,Asia
MT772253.1,QLI49757.1,2020-06-13,21521,25333,India: Surat,Asia
MT772252.1,QLI49745.1,2020-06-13,21521,25342,India: Surat,Asia
MT772240.1,QLI49733.1,2020-06-13,21521,25342,India: Surat,Asia
MT772237.1,QLI49721.1,2020-06-13,21521,25342,India: Choryasi,Asia
MT772215.1,QLI49709.1,2020-06-13,21521,25342,India: Choryasi,Asia
MT772210.1,QLI49697.1,2020-06-14,21521,25342,India: Himatnagar,Asia
MT778829.1,QLJ84674.1,2020-05-04,21525,25346,"USA: South Carolina, Fairfield",North America
MT778828.1,QLJ84662.1,2020-05-04,21563,25384,"USA: South Carolina, Fairfield",North America
MT778827.1,QLJ84650.1,2020-04-01,21525,25346,"USA: South Carolina, Richland",North America
MT777677.1,QLJ84625.1,2020-05-01,21531,25352,France,Europe
MT776904.1,QLJ83509.1,2020-06-01,21538,25359,Egypt,Africa
MT776427.1,QLJ58229.1,2020-04-16,21509,25330,USA,North America
MT776426.1,QLJ58217.1,2020-04-11,21509,25330,USA,North America
MT776425.1,QLJ58205.1,2020-04-08,21509,25330,USA,North America
MT776424.1,QLJ58193.1,2020-04-08,21509,25330,USA,North America
MT776423.1,QLJ58181.1,2020-04-09,21509,25330,USA,North America
MT776422.1,QLJ58169.1,2020-04-09,21509,25330,USA,North America
MT776421.1,QLJ58157.1,2020-04-07,21509,25330,USA,North America
MT776420.1,QLJ58145.1,2020-04-07,21509,25330,USA,North America
MT776419.1,QLJ58133.1,2020-04-06,21509,25330,USA,North America
MT776418.1,QLJ58121.1,2020-04-04,21509,25330,USA,North America
MT776417.1,QLJ58109.1,2020-04-04,21509,25330,USA,North America
MT776416.1,QLJ58097.1,2020-04-03,21509,25330,USA,North America
MT776415.1,QLJ58085.1,2020-04-02,21509,25330,USA,North America
MT776414.1,QLJ58073.1,2020-03-31,21509,25330,USA,North America
MT776413.1,QLJ58061.1,2020-03-30,21509,25330,USA,North America
MT776412.1,QLJ58049.1,2020-03-30,21509,25330,USA,North America
MT776411.1,QLJ58037.1,2020-03-30,21509,25330,USA,North America
